customer_id,customer_name,segment,plan,csm,status,starting_mrr,mrr,expansion_mrr,contraction_mrr,contracted_seats,monthly_active_users,feature_adoption_pct,days_since_last_contact,open_tickets,csat_score,renewal_days,tenure_months,entry_date,cancellation_date,customer_type,accounts,onboarding_completed,onboarding_date
CUST-0001,Company 001,Mid-market,Growth,Carla Souza,Churned,3098,0,0,0,76,68,99.9,20,3,4.6,44,2,2024-04-27,2024-11-05,Individual,1,No,
CUST-0002,Company 002,Mid-market,Growth,Bruno Lima,Active,3216,3759,543,0,24,20,90.3,19,1,4.3,141,13,2025-01-17,,Individual,1,Yes,2025-02-11
CUST-0003,Company 003,Enterprise,Scale,Bruno Lima,Active,5399,5399,0,0,142,88,64.5,46,0,4.5,188,13,2025-02-12,,Individual,1,Yes,2025-03-14
CUST-0004,Company 004,Mid-market,Growth,Bruno Lima,Active,3222,3222,0,0,33,15,72.6,18,3,5.0,246,2,2024-11-07,,VIP,1,Yes,2024-12-02
CUST-0005,Company 005,SMB,Starter,Diego Alves,Churned,369,0,0,0,21,14,72.9,36,1,4.8,41,33,2025-07-01,2025-10-22,Individual,1,Yes,2025-07-16
CUST-0006,Company 006,Enterprise,Scale,Bruno Lima,Active,7910,7910,0,0,97,53,62.3,39,3,4.4,298,6,2025-09-28,,Multi-account,7,Yes,2025-10-15
CUST-0007,Company 007,Mid-market,Growth,Ana Costa,Active,2120,2120,0,0,54,29,53.4,19,3,4.3,171,41,2025-10-05,,Multi-account,5,Yes,2025-10-20
CUST-0008,Company 008,Mid-market,Growth,Bruno Lima,Active,1721,1721,0,0,67,42,71.4,9,5,5.0,323,23,2025-05-26,,Agency,1,Yes,2025-06-20
CUST-0009,Company 009,SMB,Starter,Ana Costa,Active,313,334,21,0,15,12,62.9,20,1,4.5,196,35,2025-04-26,,Individual,1,Yes,2025-05-14
CUST-0010,Company 010,Mid-market,Growth,Carla Souza,Active,2907,2907,0,0,74,47,75.0,40,4,3.8,203,17,2025-03-10,,Individual,1,Yes,2025-03-26
CUST-0011,Company 011,SMB,Starter,Diego Alves,Active,501,501,0,0,21,12,52.8,29,3,4.2,255,8,2024-07-29,,Individual,1,No,
CUST-0012,Company 012,Enterprise,Scale,Diego Alves,Active,9124,8476,0,648,205,85,46.4,56,6,4.1,301,10,2025-03-06,,Partner,1,Yes,2025-03-20
CUST-0013,Company 013,Mid-market,Growth,Carla Souza,Active,1966,2151,185,0,86,60,96.1,24,2,4.2,63,32,2024-01-09,,Individual,1,Yes,2024-01-22
CUST-0014,Company 014,Enterprise,Scale,Diego Alves,Churned,6676,0,0,0,181,101,59.3,51,3,4.2,190,35,2026-05-03,2026-08-01,Multi-account,7,Yes,2026-05-21
CUST-0015,Company 015,Mid-market,Growth,Bruno Lima,Active,3204,3204,0,0,98,46,53.5,22,3,3.8,17,14,2024-11-22,,Agency,1,Yes,2024-12-14
CUST-0016,Company 016,SMB,Starter,Carla Souza,Active,356,356,0,0,15,10,67.0,30,0,4.9,177,18,2025-10-29,,Individual,1,Yes,2025-11-13
CUST-0017,Company 017,Mid-market,Growth,Ana Costa,Active,2815,2815,0,0,78,57,62.1,20,2,4.6,299,46,2026-04-24,,Partner,1,Yes,2026-05-19
CUST-0018,Company 018,SMB,Starter,Carla Souza,Active,748,748,0,0,22,15,69.6,24,2,4.5,317,42,2025-03-14,,Individual,1,Yes,2025-04-09
CUST-0019,Company 019,Enterprise,Scale,Carla Souza,Active,6729,6729,0,0,333,212,77.3,23,0,4.7,108,21,2026-01-30,,Multi-account,5,Yes,2026-02-14
CUST-0020,Company 020,Mid-market,Growth,Ana Costa,Active,1582,1582,0,0,88,47,79.2,30,1,4.2,145,13,2025-02-27,,Individual,1,Yes,2025-03-27
CUST-0021,Company 021,Mid-market,Growth,Carla Souza,Active,913,913,0,0,62,48,70.3,15,2,4.5,205,16,2024-04-26,,VIP,1,Yes,2024-05-03
CUST-0022,Company 022,SMB,Starter,Carla Souza,Active,862,931,69,0,5,4,99.9,25,0,4.3,149,27,2024-01-24,,Multi-account,3,Yes,2024-02-22
CUST-0023,Company 023,Enterprise,Scale,Bruno Lima,Active,11555,11555,0,0,237,137,55.2,28,1,3.3,70,28,2024-04-29,,Multi-account,6,No,
CUST-0024,Company 024,Enterprise,Scale,Carla Souza,Active,5548,5989,441,0,138,113,89.6,9,1,4.6,116,10,2026-04-12,,Individual,1,Yes,2026-04-23
CUST-0025,Company 025,Mid-market,Growth,Bruno Lima,Churned,982,0,0,0,91,46,57.1,12,3,4.3,152,5,2025-02-23,2025-10-22,Multi-account,3,Yes,2025-03-13
CUST-0026,Company 026,SMB,Starter,Bruno Lima,Active,373,373,0,0,9,7,75.0,40,2,4.9,193,25,2024-10-08,,Individual,1,Yes,2024-10-18
