month,mrr,new_mrr,expansion_mrr,churned_mrr,contraction_mrr,active_customers,new_customers,churned_customers
2025-01-01,343833,13679,6780,7783,3292,143,7,4
2025-02-01,356114,9376,7319,3417,997,151,10,2
2025-03-01,364214,14232,3706,6974,2864,154,9,6
2025-04-01,377755,14036,4305,3408,1392,158,6,2
2025-05-01,390909,11885,7137,3390,2478,160,7,5
2025-06-01,408816,15306,9336,5139,1596,165,9,4
2025-07-01,423515,14731,6918,5325,1625,166,7,6
2025-08-01,433779,17590,3668,8272,2722,166,5,5
2025-09-01,452432,16882,9407,5436,2200,171,7,2
2025-10-01,467956,17455,8794,7844,2881,176,9,4
2025-11-01,484862,14462,8375,4408,1523,183,11,4
2025-12-01,498825,14841,9056,8276,1658,189,9,3
2026-01-01,518955,19219,9657,5791,2955,192,9,6
2026-02-01,531998,15871,5696,5034,3490,200,9,1
2026-03-01,540804,11603,6631,7334,2094,204,9,5
2026-04-01,558766,17703,9360,6327,2774,211,11,4
2026-05-01,571266,12033,5992,3348,2177,213,6,4
2026-06-01,584963,15962,3142,3249,2158,212,5,6
